directory,file,num_vertices,num_edges,weighted,avg_degree,avg_clustering_coeff
infrastructure_flights_continental,flights_NorthAmerica.edges,1019,4629,FALSE,9.085377821393523,0.5008779117097283
infrastructure_flights_continental,flights_Asia.edges,793,4088,FALSE,10.310214375788146,0.5136758323843823
infrastructure_flights_continental,flights_SouthAmerica.edges,300,739,FALSE,4.926666666666667,0.4442296816482994
infrastructure_flights_continental,flights_Europe.edges,594,4170,FALSE,14.04040404040404,0.4103764205556533
interactomes,Arabidopsis_thaliana_Columbia_agg.edges,9390,35905,TRUE,7.647497337593184,0.11637910994034005
interactomes,Gallus_gallus_agg.edges,206,235,TRUE,2.2815533980582523,0.025923387991485518
interactomes,Human_Immunodeficiency_Virus_1_agg.edges,1118,1300,TRUE,2.3255813953488373,0.019848503366676623
interactomes,Mus_musculus_agg.edges,12572,37809,TRUE,6.014794782055361,0.074508964
interactomes,Rattus_norvegicus_agg.edges,3222,4719,TRUE,2.9292364990689013,0.06239629
interactomes,Saccharomyces_cerevisiae_S288c_agg.edges,6684,502863,TRUE,150.467684,0.18214855838800775
interactomes,Xenopus_laevis_agg.edges,955,1095,TRUE,2.2931937172774868,0.044472080066843556
interactomes,Schizosaccharomyces_pombe_972h_agg.edges,4189,57908,TRUE,27.64764860348532,0.17513490672624968
interactomes,Human_Herpesvirus_4_agg.edges,181,181,TRUE,2,0
interactomes,Danio_rerio_agg.edges,98,116,TRUE,2.367346939,0.077158255
infrastructure_worldurban,okitipupa-2270_undir.edges,932,1215,FALSE,2.607296137339056,0.024856938483547922
infrastructure_worldurban,calilongue-3217_undir.edges,1288,1774,FALSE,2.7546583850931676,0.048007246
infrastructure_worldurban,mumbai-6845_undir.edges,54332,75385,FALSE,2.774976073032467,0.040437627
infrastructure_worldurban,quibor-778_undir.edges,876,1364,FALSE,3.1141552511415527,0.033219178082191776
infrastructure_worldurban,baqa_al_gharbiyya-4330_undir.edges,784,988,FALSE,2.520408163265306,0.025297619047619044
infrastructure_worldurban,shahreza-5823_undir.edges,7133,8713,FALSE,2.443011355670826,0.013724940417776528
infrastructure_worldurban,linkoping-2902_undir.edges,2937,3777,FALSE,2.572012257405516,0.08041085
infrastructure_worldurban,guixi-12242_undir.edges,677,1009,FALSE,2.980797636632201,0.022304283604135892
infrastructure_worldurban,kita-1536_undir.edges,1324,1907,FALSE,2.880664652567976,0.021047331
infrastructure_urban,Tokyo_Japan_undir.edges,417067,613525,FALSE,2.942093236818065,0.029195640257412107
infrastructure_urban,Siracusa_Italia_undir.edges,9100,12003,FALSE,2.6380219780219782,0.059124542
infrastructure_urban,Frankfurt_Germany_undir.edges,52435,76474,FALSE,2.916906646,0.04723617
infrastructure_urban,Bogota_Colombia_undir.edges,91730,137474,FALSE,2.9973618227406518,0.02516438
infrastructure_flights,world_openFlights2014__KLM_Royal_Dutch_Airlines.edges,368,454,FALSE,2.467391304347826,0.1718734811677956
infrastructure_flights,world_openFlights2014__Alitalia.edges,276,450,FALSE,3.260869565217391,0.2015297504285657
infrastructure_flights,OAG_flights__Middle_Africa.edges,47,96,TRUE,4.085106382978723,0.601198423
infrastructure_flights,world_openFlights2014__Ryanair.edges,176,1242,FALSE,14.113636363636363,0.3752100329195697
social,real_Indian_villages_rel_HH_vilno_2.edges,133,201,FALSE,3.0225563909774436,0.17694235588972432
social,real_Indian_villages_medic_vilno_60.edges,1542,5045,FALSE,6.543450064850843,0.7567868703847831
social,real_Social_Adolescent_Health_comm50.edges,2539,10455,FALSE,8.235525797558093,0.14667679949853227
social,real_Indian_villages_allVillageRelationships_vilno_47.edges,660,2834,FALSE,8.587878787878788,0.6384526353801069
social,real_Uganda_villages_friendship_1.edges,202,567,FALSE,5.6138613861386135,0.056777021
social,real_Facebook100_Simmons81.edges,1510,32984,FALSE,43.68741721854305,0.3166060764023978
social,real_Sociopatterns_Dublin_2009_05_15.edges,957,4157,FALSE,8.687565308254964,0
social,real_FacebookCompanies_L1.edges,5793,30753,FALSE,10.61729673744174,0.1706843474278115
social,real_Facebook100_UCSC68.edges,8979,224578,FALSE,50.02294242120503,0.23729711878842769
social,real_Facebook100_Penn94.edges,41536,1362220,FALSE,65.59225731895224,0.2118363172910389
Fungal,Pv_L_I+4xR_Fc_N_36d_2.edges,709,973,TRUE,2.744710860366714,0.062889829
Fungal,Pp_M_Tokyo_U_N_26h_9.edges,199,311,TRUE,3.1256281407035176,0.12632208662359415
Fungal,Pv_M_I_Fc_Hf_38d_3.edges,1644,2120,TRUE,2.579075425790754,0.054948249
Fungal,Rb_M_I_U_N_18d_1.edges,154,177,TRUE,2.2987012987012987,0.04517316
Fungal,Rb_M_I_Fc-H_N_16d_2.edges,120,163,TRUE,2.716666666666667,0.09807422
Fungal,Pv_M_I_U_N_42d_1.edges,2367,2594,TRUE,2.1918039712716517,0.019411133859803063
Fungal,Rb_M_I_Fc-H_N_18d_3.edges,322,404,TRUE,2.5093167701863353,0.0491638
Fungal,Pv_M_5xI_U_N_33d_3.edges,1384,1851,TRUE,2.6748554913294798,0.068762042
Fungal,Pv_M_I_U_N_18d_3.edges,502,539,TRUE,2.147410358565737,0.024236387782204515
Fungal,Pv_M_I_U_N_39d_5.edges,986,1351,TRUE,2.740365111561866,0.080928233
languages,kor-kr_web_2020_1M-co_n.edges,134055,501280,TRUE,7.478721420312558,0.069032374
languages,zul_news_2013_30K-co_n.edges,7537,14067,TRUE,3.732784927690062,0.045677839
languages,tur_news_2022_1M-co_n.edges,117154,586126,TRUE,10.00607747067962,0.10415901608294305
languages,urd_newscrawl_2016_1M-co_s.edges,79033,2711483,TRUE,68.61647666164767,0.4934000419395856
languages,urd_news_2020_30K-co_s.edges,9997,91534,TRUE,18.312293688106433,0.36196160695867335
languages,oss_wikipedia_2021_10K-co_s.edges,2725,8583,TRUE,6.299449541284404,0.3221577836849225
languages,oci-fr_web_2020_10K-co_s.edges,3240,14655,TRUE,9.046296296296296,0.43640251059893065
languages,yid_wikipedia_2021_30K-co_n.edges,6556,20289,TRUE,6.1894447834045145,0.16936791332786635
languages,fao_news_2020_30K-co_n.edges,8020,22746,TRUE,5.672319201995013,0.10285599315011464
languages,urd_wikipedia_2021_300K-co_n.edges,30613,155243,TRUE,10.142292490118576,0.1214877299856931
languages,fao_wikipedia_2021_30K-co_n.edges,6466,17499,TRUE,5.412619858,0.089316846
languages,nav_wikipedia_2021_10K-co_n.edges,1107,2259,TRUE,4.081300813,0.06702289
languages,ita_wikipedia_2021_1M-co_n.edges,101863,615055,TRUE,12.076121849935697,0.17241171650667267
languages,que_wikipedia_2021_10K-co_n.edges,1254,2007,TRUE,3.200956937799043,0.07677801
languages,zho-cn_web_2015_1M-co_n.edges,198148,991451,TRUE,10.007176453963703,0.1493754797532305
connectomes,Human_998-Hagmann_PLoSBiol_2008_subjC_connectmat_txt.edges,992,14596,TRUE,29.427419354838708,0.39818703130165367
connectomes,Human_1215-sub-0027058_ses-1_dwi_Talairach_edges_txt.edges,972,19517,TRUE,40.15843621399177,0.6997132564535262
connectomes,Human_1215-sub-0027056_ses-1_dwi_Talairach_edges_txt.edges,984,21251,TRUE,43.19308943089431,0.7051503745795225
connectomes,Human_188-NKI_Rockland_9780496_DTI_connectmat_txt.edges,188,1702,TRUE,18.106382978723403,0.5659208489443971
connectomes,Drosophila-N1781-drosophila_medulla_1_graphml.edges,1770,8905,TRUE,10.062146892655367,0.2644822152735207
connectomes,Human_1215-sub-0027057_ses-1_dwi_Talairach_edges_txt.edges,964,21681,TRUE,44.981327800829874,0.7110760774824504
connectomes,Human_998-Hagmann_PLoSBiol_2008_subjE_connectmat_txt.edges,988,14134,TRUE,28.611336032388664,0.41345453186459213
connectomes,Mouse-mouse_visual_cortex_2_graphml.edges,193,214,TRUE,2.2176165803108807,0.021282529036683043
connectomes,CionaIntestinalis-elife-16962-fig16-data2-v1_xlsx.edges,138,415,TRUE,6.0144927536231885,0.2831876072867478
connectomes,Human_998-Hagmann_PLoSBiol_2008_subjA_connectmat_txt.edges,998,14585,TRUE,29.228456913827657,0.39849347713805194
connectomes,Human_998-Hagmann_PLoSBiol_2008_subjD_connectmat_txt.edges,994,13576,TRUE,27.31589537,0.3920689099906856
connectomes,Rat-rattus_norvegicus_brain_2_graphml.edges,502,24647,TRUE,98.19521912350598,0.8907630158080817
connectomes,CElegans-c_elegans_herm_pharynx_1_graphml.edges,279,2287,TRUE,16.39426523297491,0.3371339990890197
connectomes,PlatynereisDumerilli-Platynereis_dumerilii_larva_csv.edges,2728,10739,TRUE,7.873167155,0.15905879151447502
connectomes,Mouse-kasthuri_graph_v4_graphml.edges,987,1536,TRUE,3.1124620060790273,0
connectomes,Human_1215-sub-0027055_ses-1_dwi_DS01216_edges_txt.edges,1121,18134,TRUE,32.35325602140946,0.5419532960860944
connectomes,Human_998-Hagmann_PLoSBiol_2008_subjB_connectmat_txt.edges,994,14641,TRUE,29.458752515090545,0.39567300529063504
infrastructure_roads_US,LA.edges,408161,489985,FALSE,2.400939825,0.015006414952269655
infrastructure_roads_US,NY.edges,708520,881589,FALSE,2.4885366679839667,0.022447936
infrastructure_roads_US,DC.edges,9522,14807,FALSE,3.110060911573199,0.039189946
metabolomes,oih.edges,1282,3560,FALSE,5.553822152886116,0.1573443571174789
metabolomes,uur.edges,300,712,FALSE,4.746666666666667,0.090942066
metabolomes,atc.edges,1538,4315,FALSE,5.611183355006502,0.1656220010779752
metabolomes,mmu.edges,1813,5578,FALSE,6.153337010479867,0.1887724367852613
metabolomes,mpe.edges,546,1289,FALSE,4.721611721611722,0.093041877
metabolomes,mle.edges,961,2542,FALSE,5.290322580645161,0.11827770698365081
metabolomes,ype.edges,1432,4008,FALSE,5.597765363128492,0.1728605940291884
metabolomes,rpr.edges,712,1665,FALSE,4.676966292134831,0.11868552856501284
